Animal_Id;animal_type;animal_breed;Kennel_Number;Kennel_Status;Tag_Type;Activity_Number;Activity_Sequence;Source_Id;Census_Tract;Council_District;intake_type;Intake_Subtype;Reason;Staff_Id;intake_date;intake_time;Due_Out;intake_condition;Hold_Request;Outcome_Type;Outcome_Date;Outcome_Time;Receipt_Number;Impound_Number;Service_Request_Number;Outcome_Condition;chip_status;Animal_Origin;Additional_Information;animal_stay_days;Month;Year;;;;;;;;;;;;;;;;
A1065933;OFFSET_1;52;SH;PSOFFSET_1;1;AVAILABLE;1;P0680315;20500;6;FOSTER;SURGERY;OTHER;BP;5/21/2019;00:00;10:50:00;5/21/2019;00:00;TREATABLE;MANAGEABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-462092;UNABLE;TO;SCAN;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;;
A1061838;OFFSET_1;52;MH;PSOFFSET_1;19;AVAILABLE;1;P0100881;20500;6;FOSTER;GENERAL;OTHRINTAKS;DF;5/22/2019;00:00;10:46:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOPTION;OTHER;00:00:00;K19-462321;SCAN;CHIP;OVER;THE;COUNTER;0;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1067471;OFFSET_1;52;SH;OFFICE;UNAVAILABLE;1;P0883560;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;09:51:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;FOSTER;00:00:00;K19-462298;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;NO;CHIP;OVER;THE;COUNTER;FOSTER;0;FY2017;NEXT_FY;;;;;;;;;
A1067474;OFFSET_1;52;SH;OFFICE;UNAVAILABLE;1;P0883560;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;09:56:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;FOSTER;00:00:00;K19-462302;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;NO;CHIP;OVER;THE;COUNTER;FOSTER;0;FY2017;NEXT_FY;;;;;;;;;
A1067567;OFFSET_1;52;SH;F3;UNAVAILABLE;1;P0097621;20500;6;FOSTER;TREATMENT;MEDICAL;BP;5/22/2019;00:00;10:05:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;FOSTER;00:00:00;K19-462310;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;NO;CHIP;OVER;THE;COUNTER;FOSTER;0;FY2017;NEXT_FY;;;;;;;;;
A1067566;OFFSET_1;52;SH;F3;UNAVAILABLE;1;P0097621;6301;4;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;10:06:00;5/22/2019;00:00;TREATABLE;MANAGEABLE;NON-CONTAGIOUS;RESC;FOSTR;FOSTER;00:00:00;K19-462312;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;NO;CHIP;OVER;THE;COUNTER;FOSTER;0;FY2017;NEXT_FY;;;;;;;;;
A1067603;OFFSET_1;52;SH;F1;AVAILABLE;1;P0045436;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;10:02:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;FOSTER;00:00:00;K19-462308;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;NO;CHIP;OVER;THE;COUNTER;0;FY2017;NEXT_FY;;;;;;;;;;
A1067565;OFFSET_1;52;SH;F3;UNAVAILABLE;1;P0097621;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;10:04:00;5/22/2019;00:00;TREATABLE;MANAGEABLE;NON-CONTAGIOUS;RESC;FOSTR;FOSTER;00:00:00;K19-462309;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;NO;CHIP;OVER;THE;COUNTER;FOSTER;0;FY2017;NEXT_FY;;;;;;;;;
A1067387;OFFSET_1;52;SH;N7;AVAILABLE;1;P0683645;20500;6;FOSTER;GENERAL;OTHRINTAKS;JGC;5/22/2019;00:00;08:21:00;5/22/2019;00:00;HEALTHY;RESC;FOSTR;OTHER;00:00:00;K19-462279;SCAN;CHIP;OVER;THE;COUNTER;0;FY2017;NEXT_FY;;;;;;;;;;;;;;;;
A1067804;OFFSET_1;52;SH;VT;6;UNAVAILABLE;1;P0710423;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;08:38:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;FOSTER;00:00:00;K19-462284;UNHEALTHY;UNTREATABLE;NON-CONTAGIOUS;SCAN;NO;CHIP;OVER;THE;COUNTER;FOSTER;0;FY2017;NEXT_FY;;;;;;;;
A1067475;OFFSET_1;52;SH;OFFICE;UNAVAILABLE;1;P0883560;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;09:39:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;FOSTER;00:00:00;K19-462293;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;NO;CHIP;OVER;THE;COUNTER;FOSTER;0;FY2017;NEXT_FY;;;;;;;;;
A1061836;OFFSET_1;52;MH;PSOFFSET_1;19;AVAILABLE;1;P0100881;20500;6;FOSTER;GENERAL;OTHRINTAKS;DF;5/22/2019;00:00;10:44:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOPTION;OTHER;00:00:00;K19-462319;SCAN;CHIP;OVER;THE;COUNTER;0;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1064738;OFFSET_1;52;SH;AC;21;AVAILABLE;1;P0791503;20500;6;FOSTER;SURGERY;OTHER;BP;5/22/2019;00:00;07:14:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-462271;SCAN;NO;CHIP;OVER;THE;COUNTER;AC21;-;CC31;0;FY2017;NEXT_FY;;;;;;;;;
A1061835;OFFSET_1;52;MH;PSOFFSET_1;19;AVAILABLE;1;P0100881;20500;6;FOSTER;GENERAL;OTHRINTAKS;DF;5/22/2019;00:00;10:43:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOPTION;OTHER;00:00:00;K19-462318;SCAN;CHIP;OVER;THE;COUNTER;0;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1067601;OFFSET_1;52;SH;F1;AVAILABLE;1;P0045436;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;10:01:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOPTION;FOSTER;00:00:00;K19-462307;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;NO;CHIP;OVER;THE;COUNTER;0;FY2017;NEXT_FY;;;;;;;;;;;
A1061837;OFFSET_1;52;MH;PSOFFSET_1;19;AVAILABLE;1;P0100881;20500;6;FOSTER;GENERAL;OTHRINTAKS;DF;5/22/2019;00:00;10:45:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOPTION;OTHER;00:00:00;K19-462320;SCAN;CHIP;OVER;THE;COUNTER;0;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1067604;OFFSET_1;52;SH;F1;AVAILABLE;1;P0045436;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;09:59:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOPTION;FOSTER;00:00:00;K19-462306;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;NO;CHIP;OVER;THE;COUNTER;0;FY2017;NEXT_FY;;;;;;;;;;;
A1060617;OFFSET_1;52;SH;AK;5;AVAILABLE;1;P0875326;11602;8;OWNER;SURRENDER;GENERAL;PERSNLISSU;AH;03/10/2019;00:00;12:23:00;03/10/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESCU;ONLY;OTHER;00:00:00;K19-452743;UNABLE;TO;SCAN;OVER;THE;COUNTER;73;FY2017;NEXT_FY;;;;;;;;;;;
A1052075;OFFSET_1;52;SH;LFC;8;AVAILABLE;1;P0881019;17102;8;OWNER;SURRENDER;GENERAL;FINANCIAL;BW;4/23/2019;00:00;13:41:00;4/29/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-458041;SCAN;NO;CHIP;OVER;THE;COUNTER;29;FY2017;NEXT_FY;;;;;;;;;;;
A1065740;OFFSET_1;52;SH;AK;6;AVAILABLE;1;P0881671;12100;7;OWNER;SURRENDER;GENERAL;ALLERGIC;CBM;4/26/2019;00:00;14:40:00;4/27/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-458732;SCAN;CHIP;OVER;THE;COUNTER;26;FY2017;NEXT_FY;;;;;;;;;;;;
A1066034;OFFSET_1;52;SH;PSOFFSET_1;12;AVAILABLE;1;P0517346;2500;2;OWNER;SURRENDER;GENERAL;PERSNLISSU;BW;4/29/2019;00:00;14:34:00;4/29/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-459102;SCAN;NO;CHIP;OVER;THE;COUNTER;23;FY2017;NEXT_FY;;;;;;;;;;;
A1066403;OFFSET_1;52;SH;AK;2;AVAILABLE;1;P0692676;4000;7;OWNER;SURRENDER;GENERAL;OTHER;AH;05/02/2019;00:00;14:00:00;05/02/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-459553;SCAN;NO;CHIP;OVER;THE;COUNTER;20;FY2017;NEXT_FY;;;;;;;;;;;
A1066404;OFFSET_1;52;SH;AC;59;AVAILABLE;1;P0692676;4000;7;OWNER;SURRENDER;GENERAL;OTHER;AH;05/02/2019;00:00;14:00:00;05/02/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-459554;SCAN;NO;CHIP;OVER;THE;COUNTER;20;FY2017;NEXT_FY;;;;;;;;;;;
A1066500;OFFSET_1;52;SH;PSOFFSET_1;3;AVAILABLE;1;P0692676;4000;7;OWNER;SURRENDER;GENERAL;OTHER;DL;05/03/2019;00:00;12:10:00;05/03/2019;00:00;TREATABLE;MANAGEABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-459667;UNABLE;TO;SCAN;OVER;THE;COUNTER;19;FY2017;NEXT_FY;;;;;;;;;;;
A1066843;OFFSET_1;52;LH;PSOFFSET_1;18;AVAILABLE;1;P0882936;20300;7;OWNER;SURRENDER;GENERAL;OTHER;IF;05/06/2019;00:00;12:37:00;05/06/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-460074;SCAN;CHIP;OVER;THE;COUNTER;16;FY2017;NEXT_FY;;;;;;;;;;;;
A1066818;OFFSET_1;52;SH;PSOFFSET_1;7;AVAILABLE;1;P0628194;6301;4;OWNER;SURRENDER;GENERAL;FINANCIAL;IF;05/06/2019;00:00;11:59:00;05/06/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-460047;SCAN;NO;CHIP;OVER;THE;COUNTER;AC5;-;CC29;16;FY2017;NEXT_FY;;;;;;;;
A1066958;OFFSET_1;52;SH;PSOFFSET_1;13;AVAILABLE;1;P0692676;4000;7;OWNER;SURRENDER;GENERAL;HOUSING;BW;05/07/2019;00:00;12:03:00;05/07/2019;00:00;TREATABLE;MANAGEABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-460217;SCAN;NO;CHIP;OVER;THE;COUNTER;15;FY2017;NEXT_FY;;;;;;;;;;;
A1066960;OFFSET_1;52;SH;QC;1;AVAILABLE;1;P0692676;4000;7;OWNER;SURRENDER;GENERAL;HOUSING;BW;05/07/2019;00:00;12:03:00;05/07/2019;00:00;TREATABLE;MANAGEABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-460220;SCAN;NO;CHIP;OVER;THE;COUNTER;15;FY2017;NEXT_FY;;;;;;;;;;;;
A1066977;OFFSET_1;52;MH;PSOFFSET_1;15;AVAILABLE;1;P0883073;5200;1;OWNER;SURRENDER;GENERAL;PERSNLISSU;BW;05/07/2019;00:00;13:52:00;05/07/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-460245;SCAN;NO;CHIP;OVER;THE;COUNTER;15;FY2017;NEXT_FY;;;;;;;;;;;
A1067167;OFFSET_1;52;SH;PSOFFSET_1;5;AVAILABLE;1;P0692676;4000;7;OWNER;SURRENDER;GENERAL;FINANCIAL;AH;05/09/2019;00:00;12:33:00;05/09/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-460473;SCAN;NO;CHIP;OVER;THE;COUNTER;13;FY2017;NEXT_FY;;;;;;;;;;;
A1067383;OFFSET_1;52;SH;PSOFFSET_1;20;AVAILABLE;1;P0883562;9101;5;OWNER;SURRENDER;GENERAL;HOUSING;IF;05/11/2019;00:00;14:02:00;05/12/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-460758;SCAN;CHIP;OVER;THE;COUNTER;11;FY2017;NEXT_FY;;;;;;;;;;;;
A1067503;OFFSET_1;52;SH;FREEZER;UNAVAILABLE;A19-172589;1;P0883742;8701;4;OWNER;SURRENDER;#NAME?;OTHER;MM1701;05/12/2019;00:00;20:54:00;05/12/2019;00:00;UNHEALTHY;UNTREATABLE;NON-CONTAGIOUS;CRUELTY;OTHER;00:00:00;K19-460923;SCAN;NO;CHIP;FIELD;10;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1067557;OFFSET_1;52;SH;PSOFFSET_1;16;AVAILABLE;1;P0653190;1204;2;OWNER;SURRENDER;EUTHANASIA;REQUESTED;MEDICAL;BW;5/13/2019;00:00;11:48:00;5/13/2019;00:00;TREATABLE;MANAGEABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-460987;SCAN;NO;CHIP;OVER;THE;COUNTER;9;FY2017;NEXT_FY;;;;;;;;;;
A1067712;OFFSET_1;52;LH;LFC;5;IMPOUNDED;A19-173019;1;P0883932;19016;10;OWNER;SURRENDER;GENERAL;HOUSING;VD1770;5/14/2019;00:00;15:51:00;5/24/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;HOLD;NOTIFY;OTHER;00:00:00;K19-461182;SCAN;NO;CHIP;FIELD;8;FY2017;NEXT_FY;;;;;;;;;;;;
A1067795;OFFSET_1;52;SH;PSOFFSET_1;14;AVAILABLE;1;P0884007;9304;8;OWNER;SURRENDER;GENERAL;OTHRINTAKS;AH;5/15/2019;00:00;12:43:00;5/15/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-461290;SCAN;NO;CHIP;OVER;THE;COUNTER;7;FY2017;NEXT_FY;;;;;;;;;;;
A1067805;OFFSET_1;52;SH;AC;37;AVAILABLE;1;P0884018;13621;11;OWNER;SURRENDER;GENERAL;HOUSING;AH;5/15/2019;00:00;13:35:00;5/15/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-461302;SCAN;CHIP;OVER;THE;COUNTER;7;FY2017;NEXT_FY;;;;;;;;;;;;
A1067788;OFFSET_1;52;MH;PSOFFSET_1;11;AVAILABLE;1;P0655719;16510;3;OWNER;SURRENDER;GENERAL;PERSNLISSU;AH;5/15/2019;00:00;12:29:00;5/15/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-461282;SCAN;NO;CHIP;OVER;THE;COUNTER;7;FY2017;NEXT_FY;;;;;;;;;;;
A1067806;OFFSET_1;52;SH;AK;3;AVAILABLE;1;P0884018;13621;11;OWNER;SURRENDER;GENERAL;HOUSING;AH;5/15/2019;00:00;13:35:00;5/15/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESCU;ONLY;OTHER;00:00:00;K19-461303;SCAN;NO;CHIP;OVER;THE;COUNTER;7;FY2017;NEXT_FY;;;;;;;;;;;
A1067943;OFFSET_1;52;SH;PSOFFSET_1;1;AVAILABLE;1;P0789092;6402;1;OWNER;SURRENDER;GENERAL;PERSNLISSU;CBM;5/16/2019;00:00;14:11:00;5/16/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-461463;SCAN;NO;CHIP;OVER;THE;COUNTER;6;FY2017;NEXT_FY;;;;;;;;;;;
A1067922;OFFSET_1;52;SH;LFC;9;IMPOUNDED;1;P0884099;6301;4;OWNER;SURRENDER;GENERAL;MEDICAL;CBM;5/16/2019;00:00;11:51:00;5/16/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-461437;SCAN;NO;CHIP;OVER;THE;COUNTER;6;FY2017;NEXT_FY;;;;;;;;;;;
A1067923;OFFSET_1;52;SH;LFC;9;IMPOUNDED;1;P0884099;6301;4;OWNER;SURRENDER;GENERAL;MEDICAL;CBM;5/16/2019;00:00;11:51:00;5/16/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-461438;SCAN;NO;CHIP;OVER;THE;COUNTER;6;FY2017;NEXT_FY;;;;;;;;;;;
A1055873;OFFSET_1;52;SH;LFC;31;AVAILABLE;1;P0872745;20500;6;OWNER;SURRENDER;GENERAL;BEHAVIOR;DL;5/18/2019;00:00;12:02:00;5/18/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-461685;SCAN;CHIP;OVER;THE;COUNTER;4;FY2017;NEXT_FY;;;;;;;;;;;;
A1068228;OFFSET_1;52;SH;K15;IMPOUNDED;1;P0884469;8802;4;OWNER;SURRENDER;GENERAL;FINANCIAL;IF;5/19/2019;00:00;12:03:00;5/19/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-461820;SCAN;NO;CHIP;OVER;THE;COUNTER;3;FY2017;NEXT_FY;;;;;;;;;;;;
A1068227;OFFSET_1;52;SH;K15;IMPOUNDED;1;P0884469;8802;4;OWNER;SURRENDER;GENERAL;FINANCIAL;IF;5/19/2019;00:00;12:03:00;5/19/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-461818;SCAN;NO;CHIP;OVER;THE;COUNTER;3;FY2017;NEXT_FY;;;;;;;;;;;;
A1068226;OFFSET_1;52;SH;K15;IMPOUNDED;1;P0884469;8802;4;OWNER;SURRENDER;GENERAL;FINANCIAL;IF;5/19/2019;00:00;12:03:00;5/19/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-461817;SCAN;NO;CHIP;OVER;THE;COUNTER;3;FY2017;NEXT_FY;;;;;;;;;;;;
A1068323;OFFSET_1;52;SH;AC;14;AVAILABLE;1;P0068791;5100;1;OWNER;SURRENDER;GENERAL;OTHRINTAKS;IF;5/20/2019;00:00;11:56:00;5/20/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-461948;SCAN;NO;CHIP;OVER;THE;COUNTER;2;FY2017;NEXT_FY;;;;;;;;;;;
A1068328;OFFSET_1;52;SH;PSOFFSET_1;1;AVAILABLE;1;P0803045;11602;8;OWNER;SURRENDER;GENERAL;HOUSING;IF;5/20/2019;00:00;12:25:00;5/20/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-461954;SCAN;NO;CHIP;OVER;THE;COUNTER;2;FY2017;NEXT_FY;;;;;;;;;;;
A1068472;OFFSET_1;52;SH;AC;17;AVAILABLE;1;P0068791;5100;1;OWNER;SURRENDER;GENERAL;HOUSING;BW;5/21/2019;00:00;13:20:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-462137;SCAN;NO;CHIP;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;
A1068554;OFFSET_1;52;SH;K1;IMPOUNDED;A19-174250;1;P0884748;3901;7;OWNER;SURRENDER;GENERAL;FINANCIAL;DT1757;5/21/2019;00:00;17:40:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;OTHER;00:00:00;K19-462230;SCAN;NO;CHIP;FIELD;1;FY2017;NEXT_FY;;;;;;;;;;;;;;;
A1068553;OFFSET_1;52;SH;LFC;42;AVAILABLE;A19-174250;1;P0884748;3901;7;OWNER;SURRENDER;GENERAL;FINANCIAL;DT1757;5/21/2019;00:00;17:40:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-462229;SCAN;NO;CHIP;FIELD;1;FY2017;NEXT_FY;;;;;;;;;;;;
A1068552;OFFSET_1;52;SH;LFC;39;IMPOUNDED;A19-174250;1;P0884748;3901;7;OWNER;SURRENDER;GENERAL;FINANCIAL;DT1757;5/21/2019;00:00;17:40:00;5/27/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;HOLD;NOTIFY;OTHER;00:00:00;K19-462228;SCAN;CHIP;FIELD;1;FY2017;NEXT_FY;;;;;;;;;;;;;
